	dendritic	endothelial	eosinophil	erythroblast	macrophage	monocyte	neutrophil	placenta	tcell	adipose	brain	fibroblast	heart	hepatocyte	lung	mammary	megakaryocyte	skeletal	small
als1	0.003203557018981198	0.04267437337283317	0.06678713962106218	0.16344109123788897	0.0427468826262989	5.586147195053722e-05	0.23225137933349635	0.007618400979525378	0.22200074550935925	0.0006521456396546255	0.017198437241505396	0.06481072818511986	0.011864598995713245	0.009229117741655874	0.00030016426957896213	0.0010000302038090895	0.11336261382513568	0.00016270827660616353	0.0006400244498252573
als2	0.0008751870569583108	0.02293502441497271	0.0762676615810614	0.12767314810732605	0.030020146925336378	1.673124566026997e-05	0.20730462858791018	0.008782285354091474	0.32819694069879085	5.9742475670842075e-05	0.00032943612474429303	0.0873623542072225	0.0004051841184505372	0.005838502325027496	2.2866828826007827e-05	8.308761238574656e-05	0.10255762403135607	0.00011663061908152339	0.0011528176851274532
als3	0.012560343448983127	0.022302286763344663	0.07917643752343143	0.15325408292455728	0.036058618340256664	6.506682647435216e-06	0.23398507540650962	0.019758933238931096	0.25259293542745914	0.0023187410843143767	0.0021278486271163817	0.08459081887191564	0.00022195507845704059	0.0013705492364167386	0.001909868652901176	0.0015102766125141816	0.08427775567617238	0.003898795004548062	0.008078171399523637
als4	0.00047213600556903314	0.007294695926890646	0.06682104002955327	0.07312947487215493	0.011118534293585312	7.497561389105545e-05	0.2019574770767397	0.005204108561424545	0.4924546366381668	7.101571923963433e-05	0.001553834741405973	0.06647217673745524	0.003073896652534723	0.0006073482682256348	1.5121522985799818e-05	7.488384662823271e-05	0.0685142463566548	0.0002568844232185973	0.0008335127136762634
ctr1	0.009421268619893772	0.020965056086148324	0.1059633950000424	0.1411589511096516	0.01737537136393518	0.0005029625829188493	0.2232634596517708	0.011822436252766445	0.2773143801371209	8.96891252022341e-05	0.02362597890370488	0.06826960624152226	0.002714174108224584	0.0064266794970354105	0.0012654456699901068	0.000728822429955468	0.08195060651619787	3.480464286623532e-05	0.0071069120610525805
ctr2	0.006371784886798999	0.028957810192314068	0.11182938147867696	0.22053682290100438	0.04428804511113092	2.121341307334822e-05	0.15583008813873342	0.019535354073096766	0.20533435667226113	0.00011694271551853444	0.0069719683207038665	0.058666579090197964	0.00011664472789658371	0.014421930999201507	0.00022875914962613102	7.012018926431018e-05	0.12315349765865034	0.0017898328788093245	0.0017588674030412895
ctr3	0.0028574440655479397	0.03522253340930812	0.11151831973618251	0.15172491985389489	0.02500311933919013	1.255883999692429e-05	0.18888932587645055	0.026121416121479803	0.2479418229484191	0.0004328317108639983	0.009193254316790285	0.07877832607612861	0.0026535764084540323	0.011635366035784673	0.001316369327902125	4.303633951391152e-06	0.08978980705316654	0.003912426479473036	0.012992278767015166
ctr4	0.013401555098791132	0.019351464706567015	0.0713039694319099	0.08189222460147504	0.035238172896810895	0.0046885703747742416	0.26798447938056513	0.017704850802011434	0.2885831425605822	0.006647694459183064	0.003496265625737199	0.08688147269268562	0.0013690164254394146	0.012652646590948077	4.4527441739011454e-06	0.0008349296924641364	0.07401133393723044	0.0007190563794778167	0.01323470159917347
